Model,Price,Year,Hand,Gear,Capacity_engine,Engine_type,Km,Test,Color,Prev_ownership,Curr_ownership,Area,City,Pic_num,Cre_date,Repub_date,Description
סקודה סופרב (2015),110000.0,2015,1,אוטומטית,"1,800",בנזין,,,,,,,אום אל-פ,1,30/07/2022,30/07/2022,"סקודה סופרב סוף 2015 צורה חדשה אוטו מושקע מנוע 1.8 עליה לכביש חודש 30/112015 כולל גג פנוראמי הרבה מושקע
 יש על הרכב סטייג 2 של פספ
תוכנה גיר פספ
דאון פיפ 
מופליר 
זבית 
הרכב עומד על 270 כוח סוס גנט מגניזיום 19
קסאות עור צבע שחור של lk
חגורות אדומות
אנדרויד מכורי 
גם הרבה תוספות חוץ גם פנים
המחיר המובקש 110
גמיש קצת לרצינים בלבד אפשרות מימון 
מספר טלפון 0539639437 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; רכב שמור"
סקודה אוקטביה (2016),66000.0,2016,2,רובוטית,"1,200",בנזין,"80,500",,,,,חיפה וחוף הכרמל,חיפה,1,30/07/2022,30/07/2022,"יד שניה פרטית. ראשונה גם פרטית. קילומטראז נמוך במיוחד. דגם סטייל המפואר. במצב נדיר. חלונות עם הצללה מאחורה. רדאר קדמי ואחורי. מחיר לא גמיש.
לא להתקשר בשבת ואחרי 9 בערב
מחיר 66000 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גלגלי מגנזיום"
סקודה אוקטביה (2015),59900.0,2015,2,אוטומטית,"1,200",בנזין,,,,,,"ראשל""צ והסביבה",ראשון לציון,1,28/07/2022,28/07/2022,"לבוא לקחת התחייבות מלאה בבדיקת הקניה לגיר מנוע ושילדה. התחייבות לקנייה חוזרת עד 5 שנים. שקיפות מלאה!!! מגוון אפשרויות מימון עד 100% נמצא בסוכנות ""גרינקאר"" בראשל""צ, רח' הרצל 28. הנחות ומחירים מיוחדים יינתנו בסניף, יחס אישי לכל לקוח שקיפות מלאה!!! מבחר ענק של רכבים נוספים ניתן לראות באתר של גרינקאר. לצאת עם רכב חדש באותו היום.. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; https://youtu.be/bRPu7acXoCs"
"סקודה פאביה
 (2013)",24500.0,2013,1,ידנית,"1,400",בנזין,"205,000",,,,,זכרון - בנימינה,בנימינה גבעת עדה,1,28/07/2022,28/07/2022,"רכב פרקטי ואמין
מנוע 1400, ידני, יד ראשונה, 205,000. 
מטופל היטב עם קבלות לכל הטיפולים. 
שמור מאוד מבפנים ומבחוץ. ללא תאונות וללא דפיקות. רכב ממש יפה ושמור."
סקודה אוקטביה (2016),55000.0,2016,2,אוטומטית,"1,197",בנזין,,,,,,מודיעין והסביבה,חשמונאים,1,27/07/2022,27/07/2022,
סקודה אוקטביה (2015),,2015,1,אוטומטית,"1,200",בנזין,178,,,,,גדרה יבנה והסביבה,גדרה,1,23/07/2022,23/07/2022,"סקודה אוקטביה 2015
יד 01 שמורה מאוד!
178 אלף קמ נהג יחיד!!
אחרי טיפול ענקק +4 צמיגים חדשים 
טסט לעוד 7 חודשים 
הרכב מטופל ברמה הכי גובה שיש 
לרצינים בלבד!!
0502128823"
סקודה סופרב (2013),33000.0,2013,3,אוטומטית,"1,800",בנזין,"195,000",,,,,אשדוד - אשקלון,אשקלון,1,21/07/2022,21/07/2022,"למכירה סקודה סופרב 2013 יד 3 פרטי , ק""מ 195k 

רכב שמור ואהוב מאוד מטופל בזמן ומושקע, כולל היסטוריית טיפולים מהטיפול הראשון ,
ברכב מסך מולטימדיה גדול+מצלמת רוורס וחיישנים
 , צמיגי קונטיננטל חדשים , מצבר חדש ,עבר טיפול אחרון ב190, ללא תאונות , מתחייב בבדיקה , הרכב בבעלותי מ2019 , 
מחיר 33k. אזור אשקלון. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מסך מולטימדיה כולל יוטיוב + מצלמת רוורס וחיישנים,מצבר חדש ,צמיגי קונטיננטל חדשים,"
סקודה אוקטביה (2015),120000.0,2015,3,אוטומטית,"2,000",בנזין,"123,000",,,,,גליל ועמקים,נצרת,1,19/07/2022,19/07/2022,"רכב במצב חדש נקי מתאונות
גנט oz 19 מאושר ברשיון בשווי 10.000
תוכנת מנוע סתייג 1 pcp 
תוכנת גיר סתייג 1 pcp
קיט מאקסטון מקורי לכל הרכב
גג פנורמי 
אוטו מושלם חזק ומדהים"
סקודה ראפיד (2016),,2016,2,אוטומטית,"1,200",בנזין,142,,,,,,רמת טראמפ,1,19/07/2022,19/07/2022,אוטו במצב חדש טיפולים בזמן עשה ב120 אלף קמ החלפת רצועת טימינג רדיאטור חדש יד ראשונה היה ליסנג אצל נהג יחיד
סקודה אוקטביה (2016),60000.0,2016,2,אוטומטית,"1,400",בנזין,180,,,,,ראש העין והסביבה,כפר קאסם,1,18/07/2022,18/07/2022,רכב שמור &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; הכול
"סקודה פאביה
 (2014)",32000.0,2014,1,אוטומטית,"1,200",בנזין,"224,500",,,,,עמק יזרעאל,גבעת אלה,1,14/07/2022,14/07/2022,"1200 טורבו
דגם אלגנס
טסט לשנה"
"סקודה רומסטר
 (2008)",7000.0,2008,4,אוטומטית,"1,600",בנזין,,,,,,חולון - בת ים,בת ים,1,13/07/2022,13/07/2022,
סקודה ראפיד (2014),,2014,2,אוטומטית,"1,395",בנזין,"187,000",,,,,ירושלים והסביבה,צור הדסה,1,12/07/2022,12/07/2022,"רכב שמור ומטופל
מצב מצויין"
סקודה ראפיד (2014),30000.0,2014,2,אוטומטית,"1,400",בנזין,"187,000",,,,,,נחף,1,04/07/2022,04/07/2022,Bgfgh &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; Nhbh
סקודה סופרב (2013),42000.0,2013,2,אוטומטית,"1,800",בנזין,"159,000",,,,,,עמק חפר,1,01/07/2022,01/07/2022,"רכב מפנק ונח !!
מטופל תמיד בסקודה !!
מתחייב בבדיקה !
הרכב הכי חתיך באחריות"
סקודה סופרב (2016),94000.0,2016,2,טיפטרוניק,"1,800",בנזין,"139,000",,,,,נתניה והסביבה,נתניה,1,01/07/2022,01/07/2022,"רכב שמור היטב, מטופל רק במוסך המרכזי, ללא תאונות, לרצינים בלבד.. אפשרות החלפה לרכב זול.. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; המון תוספות. פרטים נוספים בטלפון.."
סקודה סופרב (2016),115000.0,2016,2,אוטומטית,"2,000",בנזין,"47,000",,,,,מושבים במרכז,רינתיה,1,29/06/2022,29/06/2022,רכב שמור חדש .יד ראשונה היה במשפחה
סקודה סופרב (2013),29000.0,2013,4,אוטומטית,"1,800",בנזין,"225,000",,,,,קיסריה והסביבה,אור עקיבא,1,26/06/2022,26/06/2022,"סקודה סופרב 2013, רכב מנהלים מפנק.
שמור בקפדנות וללא תאונות.
רכב תקין לחלוטין עם טסט עד 03.23! 
נימכר עקב קבלת רכב חדש
גמיש במחיר.
 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת ברכב תואמת מקור 
מצלמת רוורס + חיישנים"
סקודה אוקטביה (2015),65000.0,2015,2,אוטומטית,"1,400",בנזין,"112,000",,,,,ראש העין והסביבה,כפר קאסם,1,22/06/2022,22/06/2022,רכב יפה ושמור
סקודה סופרב (2016),145000.0,2016,2,אוטומטית,"2,000",בנזין,"167,000",,,,,,כפר כנא,1,21/06/2022,21/06/2022,
סקודה אוקטביה (2016),68000.0,2016,1,אוטומטית,"1,400",בנזין,"140,000",,אפור מטאלי,פרטית,פרטית,עמק יזרעאל,עפולה,4,08/06/2022,14/06/2022,רכב יד ראשונה פראתי.ללא טעונות.נהג יחיד.מצב מעולה מנוע חזק וחסכוני.פרתים בטלפון.
סקודה אוקטביה (2016),69000.0,2016,1,אוטומטית,"1,400",בנזין,"139,000",,,,,עמק יזרעאל,עפולה,1,08/06/2022,08/06/2022,יד ראשונה .הרכב נקי בלי תאונות.
סקודה אוקטביה (2016),70000.0,2016,1,אוטומטית,150,בנזין,"140,000",,,,,עמק יזרעאל,עפולה,1,04/06/2022,04/06/2022,יד ראשונה מסוכנות מורשה. הרכב נקי בלי תאונות. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מגנזיום חיישני רוורס מצלמת רוורס
סקודה סופרב (2014),51000.0,2014,3,אוטומטית,"1,800",בנזין,"142,000",,שחור,פרטית,פרטית,קריות,רכסים,2,30/05/2022,01/06/2022,רכב מנהלים מפנק במצב טוב מאוד מנוע 1800 טורבו עם הרבה תוספות חלון בגג מראות מתקפלות חשמלי תאורת קסנון מושבי עור מפנקים ללא עישון חלנות מושחרים צריכת דלק סבבה
סקודה אוקטביה (2016),55000.0,2016,2,אוטומטית,"1,197",בנזין,"145,000",,,,,באר שבע והסביבה,באר שבע,1,01/06/2022,01/06/2022,"סקודה אוקטביה סטיישן מרווחת. נהגת יחידה. גגון בנוי, צמיגים חדשים, חישוקי מגנזיום. נמכרת בשל הסדר הסעות מהעבודה. מחירון 68,000 רכב צריך טיפול וטסט מחיר גמיש 55,000."
"סקודה פאביה
 (2012)",24500.0,2012,1,אוטומטית,"1,197",בנזין,"147,000",,,,,אשדוד - אשקלון,גן יבנה,1,31/05/2022,31/05/2022,סקודה פביה מצב מכני מעולה מטופלת שמורה פנימית פרטית יד 1 נוסעת מעולה אוטו מאוד מהיר אפשרות לגמישות במחיר לרציניים צרו קשר הזדמנות לאוטו מעולה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת למניעת תאונות
סקודה אוקטביה (2013),29000.0,2013,3,אוטומטית,"1,800",בנזין,"150,000",,,,,עמק יזרעאל,מגדל העמק,1,27/05/2022,27/05/2022,"אוטו במצב מצויין 
טסט שנה"
סקודה רומסטר (2015),29000.0,2015,1,אוטומטית,"1,200",בנזין,"149,000",,לבן,פרטית,פרטית,מושבים בשרון,אבן יהודה,2,10/05/2022,21/05/2022,שמורה מאוד
סקודה אוקטביה (2010),22000.0,2010,6,אוטומטית,"1,800",בנזין,"174,000",,חום מטאלי,פרטית,פרטית,באר שבע והסביבה,באר שבע,2,15/05/2022,15/05/2022,"סקודה אוקטביה שמורה מאוד, ק""מ נמוך ביחס לשנה
ובמצב מכני מצוין. 160כ""ס , מנוע 1800 
מערכת מולטימדיה ורמקולים חדשים, גלגלי מגנזיום 
עבר ידיים פרטיות בתוך המשפחה."
סקודה אוקטביה (2012),29000.0,2012,2,אוטומטית,"1,197",בנזין,"158,000",,,,,נס ציונה - רחובות,רחובות,1,14/05/2022,14/05/2022,"רכב שמור, יפה, מטופל ומתוחזק (ע""פ הספר) במוסך המרכזי של סקודה ברחובות כולל החלפת חלפים במקרה הצורך בחלפים מקוריים בלבד. מחיר מצחיק לאוטו משפחתי מעולה, אמין, חסכוני, חזק ובטיחותי. טסט עד 24 אוקטובר 2022. נמכר מכיוון שאנחנו צריכים כיום רכב בן 7 מקומות (אחרת לא היינו חושבים למכור). הרכב כולל מערכת מוביל-איי שהותקנה ומזכה בהנחה בזמן חידוש רישיון הרכב. לרציניים בלבד. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מובילאיי"
סקודה פאביה ספייס (2016),50000.0,2016,2,אוטומטית,"1,200",בנזין,124,,,,,רמלה - לוד,לוד,1,03/05/2022,03/05/2022,"סקודה פאביה ספייס שנת 2016 עם החיישן בלימה אוטונומית ועוד, רכב שמור ומטופל רק במוסך מורשה יש ספר טיפולים מנוע 1200 טורבו יד 0.1 מתחייב בבדיקה על מנוע גיר שילדה 124ק""מ מחיר 50 גמיש עוד פרטים בפאלפון0545642513 זמין גם בוואצפ &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; סקודה פאביה ספייס שנת 2016 עם החיישן בלימה אוטונומית ועוד, רכב שמור ומטופל רק במוסך מורשה יש ספר טיפולים מנוע 1200 טורבו יד 0.1 מתחייב בבדיקה על מנוע גיר שילדה 124ק""מ מחיר 50 גמיש עוד פרטים בפאלפון0545642513 זמין גם בוואצפ"
"סקודה רומסטר
 (2008)",,2008,3,אוטומטית,"1,600",בנזין,210,,,,,אשדוד - אשקלון,אשדוד,1,29/04/2022,29/04/2022,מצב מצויין שמור כמו חדש &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; קיים וו גרירה
סקודה אוקטביה (2010),29000.0,2010,1,ידנית,"1,400",בנזין,"160,000",,,,,רמת גן - גבעתיים,רמת גן,1,20/04/2022,20/04/2022,"טופל רק במוסכי החברה, הוחלף 'מוח' גיר. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; דגם -'לגנס', המפואר יותר. כולל בקרת אקלים מפצל, מיזוג למושב אחורי, חיבור טלפון למערכת השמע של הרכב."
סקודה אוקטביה (2007),11000.0,2007,2,אוטומטית,"1,900",טורבו דיזל,"440,000",,,,,באר שבע והסביבה,ערד,1,17/04/2022,17/04/2022,"רכב מצויין 
ושמור 
 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; יש בה וו גרירה"
סקודה סופרב (2014),40000.0,2014,2,אוטומטית,"1,800",בנזין,"158,600",,לבן,אחר,פרטית,ירושלים והסביבה,ירושלים,5,02/02/2022,02/02/2022,"סקודה סופרב 2014 מנוע 1800 טורבו 

158 אלף קילומטר 
160 כוח סוס
טסט לשנה 
עלה לכביש ב11/2014
מערכת מולטימדיה 
בקרת שיוט 
רכב נקי מתאונות 
עובר בדיקה בקלות 
רכב הצגה רק לבוא לקחת 
וכל מילה מעבר מיותרת"
סקודה פאביה (2012),23000.0,2012,2,אוטומטית,"1,200",בנזין,"200,000",,ירוק מטאלי,פרטית,פרטית,נס ציונה - רחובות,רחובות,6,19/12/2021,19/12/2021,"למכירה סקודה פאביה דגם ספורט. נהגת יחידה ברכב. שמורה ומטופלת בזמן. ללא תאונות כלל. חווית נסיעה מדהימה חזקה ונוחה. בוצע לאחרונה טיפול גדול לרכב כגון: אטמים , ברקסים , שמנים , פילטרים וכו'. הרכב נמכר בצער עקב קבלת רכב חברה. לא להתקשר בשבת!!"
סקודה סופרב (2014),50000.0,2014,1,אוטומטית,"1,800",בנזין,"279,733",,שמפניה,פרטית,פרטית,עמק יזרעאל,עפולה,4,13/12/2021,13/12/2021,חדש
סקודה אוקטביה (2013),42000.0,2013,4,אוטומטית,"1,200",בנזין,"86,000",,לבן,פרטית,פרטית,,אעבלין,6,11/11/2021,11/11/2021,"רכב שמור מואד טיפול לפני אלף ק״מ צמיגים חדשים 
גנט מגניזיום של vrs 
טסט שנה מלאה גמיש רק ליד הרכב"
סקודה אוקטביה (2015),52000.0,2015,3,אוטומטית,"1,400",בנזין,"140,000",,כסוף,פרטית,פרטית,ירושלים והסביבה,ירושלים,5,18/10/2021,18/10/2021,רכב שמור מאוד מטופל בזמן. כל הקודם זוכה. ק״מ נמוך 140000
סקודה אוקטביה (2013),35.0,2013,5,אוטומטית,"1,200",בנזין,"152,000",,שחור,פרטית,פרטית,באר שבע והסביבה,באר שבע,2,08/10/2021,08/10/2021,"רכב שמור מאוד! רכב פרטי ללא תאונות 
מתחייב בדיקה מנוע גיר שלדה."
סקודה סופרב (2015),77000.0,2015,4,אוטומטית,"2,000",בנזין,"121,000",,לבן פנינה,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,16,17/08/2021,22/08/2021,"מטוס מנהלים יוקרתי *** הדגם המבוקש ביותר *** צבע לבן פנינה, מושבי עור קרם, סאנרוף, צמיגים חתך נמוך, פנסי קסנון מקורי, חיישנים מסביב כל הרכב, חניה אוטומטית, באגז' פתיחה 2 מצבים, כניסה והנעה בכפתור, מותקן כבר כספת בשביל חברות הביטוח או איתוראן, אחרי טיפול 10,000 מצבר חדש של שנפ הוחלף היום 16.8.21 אחריות לשנה"
סקודה אוקטביה (2015),57.0,2015,1,אוטומטית,"1,200",בנזין,"161,000",,כחול בהיר,פרטית,פרטית,גליל ועמקים,שפרעם,3,30/08/2023,30/08/2023,רכב אלעלאא שפרעם
סקודה אוקטביה (2015),55000.0,2015,2,אוטומטית,"1,200",בנזין,,,שחור,פרטית,פרטית,באר שבע והסביבה,באר שבע,1,22/06/2023,22/06/2023,
סקודה אוקטביה RS (2015),1111111.0,2015,4,אוטומטית,"2,000",בנזין,"170,000",01/2025,כסף מטלי,פרטית,פרטית,באר שבע והסביבה,באר שבע,0,18/03/2024,18/03/2024,רכב שמור לרצנים
סקודה אוקטביה RS (2014),88000.0,2014,5,אוטומטית,"2,000",בנזין,185,,שחור,פרטית,חברה,ירושלים והסביבה,ירושלים,0,27/02/2023,27/02/2023,
סקודה אוקטביה (2013),22000.0,2013,4,אוטומטית,"1,800",בנזין,"208,000",,כחול בהיר מטאלי,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,0,20/02/2023,20/02/2023,"רכב משפחתי, שמור ומטופל
טסט לשנה הוחלפו צמיגים לפני הטסט.
חסכוני בדלק. 
בגאז' ענק . 
הדגם עם תוספת טורבו."
סקודה אוקטביה (2011),20000.0,2011,2,אוטומטית,"1,200",בנזין,,,תכלת,ליסינג,פרטית,רמת גן - גבעתיים,בני ברק,2,02/10/2022,03/10/2022,אוקטביה שנת 2011
סקודה ראפיד (2013),38000.0,2013,4,אוטומטית,"1,400",בנזין,,,אפור מטאלי,פרטית,פרטית,באר שבע והסביבה,אופקים,2,24/05/2022,24/05/2022,אוטו שמור ומטופל לא ממהר למכור לא ניכנס פעם אחת למוסך מתדלק ונוסע מוכר עקב מעבר לדו גלגלי האוטו בלי שריטות מתחייב בבדיקה לפרטים נוספים בטלפון
סקודה אוקטביה (2011),26000.0,2011,2,אוטומטית,"1,197",בנזין,"139,000",,,,,גליל ועמקים,מעלות תרשיחא,0,18/10/2022,18/10/2022,הרכב שמור ומטופל בזמן נמכר עקב מעבר לרכב 7 מקומות
סקודה אוקטביה (2014),42000.0,2014,3,אוטומטית,"1,200",בנזין,"161,000",,אפור,פרטית,פרטית,רעננה - כפר סבא,כפר סבא,4,01/04/2022,01/04/2022,
סקודה ייטי (2014),138500.0,2014,1,אוטומטית,"1,200",בנזין,"139,600",,,,,מודיעין והסביבה,גמזו,0,07/09/2022,07/09/2022,רכב במצב מעולה
סקודה אוקטביה (2014),,2014,4,אוטומטית,"1,400",בנזין,"185,000",,,,,עכו - נהריה,עכו,0,03/09/2022,03/09/2022,רכב חדש מטופל בחברה ללא תאונות
סקודה אוקטביה (2016),55000.0,2016,2,אוטומטית,"1,200",בנזין,"100,000",,,,,מודיעין והסביבה,מודיעין מכבים רעות,0,24/08/2022,24/08/2022,"סקודה אוקטביה TSI יד שניה ,שמורה ומטופלת.
לרציניים בלבד."
סקודה אוקטביה (2014),130000.0,2014,2,אוטומטית,"1,200",בנזין,"130,000",,כחול מטאלי,פרטית,פרטית,רעננה - כפר סבא,כפר סבא,0,24/08/2022,24/08/2022,סקודה אוקטביה שמורה שימשה כרכב שני במשפחה. רכב משפחתי עם פגש ענקי מערכת מובילאיי ו 7 כריות אויר.
"סקודה רומסטר
 (2013)",16000.0,2013,2,ידנית,"1,400",בנזין,"285,000",,,,,,בית ג'ן,0,19/08/2022,19/08/2022,"סקודה רומסטר ידני 1400
מודל 2013 
רכב משפחתי מרווח חסכוני 
רכב טוב 
285000"
סקודה סופרב (2011),40000.0,2011,2,אוטומטית,"2,000",בנזין,"230,000",,ברונזה מטאלי,פרטית,פרטית,באר שבע והסביבה,באר שבע,5,28/02/2022,28/02/2022,אוטו שמור
סקודה סופרב (2016),105000.0,2016,1,אוטומטית,"1,800",בנזין,"140,000",,,,,חולון - בת ים,חולון,0,08/08/2022,08/08/2022,"רכב יד ראשונה מפרטי, שמורה ומטופלת במוסך מורשה. נהג יחיד. טסט לשנה צמיגים ומצבר חדשים."
"סקודה רומסטר
 (2008)",15000.0,2008,1,אוטומטית,"1,598",בנזין,"219,300",,,,,קריות,קרית אתא,0,23/07/2022,23/07/2022,"שמור, אחרי טסט"
סקודה אוקטביה (2015),,2015,1,אוטומטית,"1,200",טורבו דיזל,178,,,,,אשדוד - אשקלון,אשקלון,0,23/07/2022,23/07/2022,"סקודה אוקטביה 2015
יד 01 שמורה מאוד!
178 אלף קמ נהג יחיד!!
אחרי טיפול ענקק +4 צמיגים חדשים 
טסט לעוד 7 חודשים 
הרכב מטופל ברמה הכי גובה שיש 
לרצינים בלבד!!
0502128823"
סקודה אוקטביה (2013),,2013,3,טיפטרוניק,"1,600",טורבו דיזל,,,,,,גליל ועמקים,ראש פינה,0,19/07/2022,19/07/2022,הכי שמור מטופל בחברה ובמוסכים מורשים
סקודה פאביה (2016),52000.0,2016,2,אוטומטית,"1,200",בנזין,"149,000",,כחול בהיר מטאלי,ליסינג,פרטית,חיפה וחוף הכרמל,טירת כרמל,8,08/01/2022,27/01/2022,רכב שמור אמין וחסכוני מאוד ללא תאונות דגם סטייל המפואר שתי צבעים הנעה ופתיחה ללא מפתח הרכב לאחר טיפול מקיף טסט ארוך צמיגים חדשים מערכת מולטימדיה אפל קאר התחייבות מלאה בבדיקה
"סקודה רומסטר
 (2013)",20000.0,2013,1,ידנית,"1,300",בנזין,"174,000",,,,,,אבני איתן,0,05/07/2022,05/07/2022,"יד ראשונה במצב מעולה 
קילומטראז׳ נמוך
חסכוני מאוד בדלק
בג’אז ענק
נוח עם ילדים
טיפולים בזמן
מצבר חדש"
סקודה ראפיד (2015),38000.0,2015,3,אוטומטית,"1,395",בנזין,"162,000",,,,,רמלה - לוד,לוד,0,12/05/2022,12/05/2022,כמו חדש
סקודה אוקטביה (2012),29000.0,2012,3,אוטומטית,"1,200",בנזין,212,,כחול,פרטית,פרטית,ירושלים והסביבה,ירושלים,0,20/11/2021,20/11/2021,
סקודה אוקטביה (2014),99999999.0,2014,1,אוטומטית,"1,200",בנזין,"165,000",,לבן,חברה,פרטית,גליל ועמקים,ריינה,0,04/06/2023,04/06/2023,
